material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------
M-0126,塗料_126,化学品,塗料,RM,S-0029,500,200,1758.36
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0127,ラベル_127,梱包材,ラベル,RM,S-0025,200,100,4354.53
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0128,PET樹脂_128,樹脂,PET樹脂,RM,S-0025,50,200,266.05
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0129,溶剤_129,化学品,溶剤,RM,S-0059,200,200,4942.65
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0130,PP樹脂_130,樹脂,PP樹脂,RM,S-0003,50,500,4828.5
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0131,抵抗_131,電子部品,抵抗,RM,S-0056,200,20,2653.46
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0132,塗料_132,化学品,塗料,RM,S-0047,50,200,4361.12
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0133,ABS樹脂_133,樹脂,ABS樹脂,RM,S-0031,100,100,3135.13
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0134,溶剤_134,化学品,溶剤,RM,S-0006,100,1000,4303.74
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0135,接着剤_135,化学品,接着剤,RM,S-0041,200,500,227.7
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0136,ステンレス板_136,金属,ステンレス板,RM,S-0041,100,50,3746.49
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0137,塗料_137,化学品,塗料,RM,S-0049,10,200,873.51
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0138,抵抗_138,電子部品,抵抗,RM,S-0003,100,20,1502.17
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0139,コンデンサ_139,電子部品,コンデンサ,RM,S-0010,50,500,2089.66
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0140,ABS樹脂_140,樹脂,ABS樹脂,RM,S-0012,10,500,4360.66
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
-----------,-------------,--------,------------,-------------,-------------------,-------------,----------------,------------------

M-0141,ラベル_141,梱包材,ラベル,RM,S-0016,200,500,758.43
material_id,material_name,category,sub_category,material_type,primary_supplier_id,min_order_qty,safety_stock_qty,unit_cost_excl_tax
