plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------
P-02,第2工場,日本,組立,P-02
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-03,第3工場,米国,加工,P-03
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-01,第1工場,中国,加工,P-01
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-11,第11工場,タイ,組立,P-11
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-12,第12工場,中国,組立,P-12
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-05,第5工場,日本,加工,P-05
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-06,第6工場,タイ,組立,P-06
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-10,第10工場,日本,成形,P-10
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-04,第4工場,日本,加工,P-04
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-07,第7工場,米国,組立,P-07
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-08,第8工場,タイ,組立,P-08
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------

P-09,第9工場,日本,加工,P-09
plant_id,plant_name,country,plant_type,plant_code
--------,----------,-------,----------,----------


Statement ID: {F470F29C-D042-484C-A9D0-2CA297363B32} | Query hash: 0xF74887C0726AFB81 | Distributed request ID: {EF7B50E4-D4FB-4BB3-BEBD-14AC40FA7D63}
