col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h
PO-0006145,S-0047,M-0083,2025-01-12,2025-02-09,1000,641.8,CLOSED
PO-0006146,S-0054,M-0032,2025-03-21,2025-04-09,1000,1470.22,CLOSED
PO-0006147,S-0051,M-0079,2024-01-03,2024-02-05,50,1506.47,CLOSED
PO-0006148,S-0053,M-0114,2025-01-13,2025-02-07,500,4353.37,CLOSED
PO-0006149,S-0016,M-0080,2026-03-05,2026-04-21,50,2928.7,CLOSED
PO-0006150,S-0020,M-0125,2024-06-11,2024-07-29,1000,4994.57,CLOSED
PO-0006151,S-0020,M-0144,2025-05-30,2025-07-17,200,1287.99,CLOSED
PO-0006152,S-0051,M-0151,2025-12-29,2026-01-31,500,2918.89,CLOSED
PO-0006153,S-0037,M-0096,2024-04-27,2024-05-23,1000,3067.67,CLOSED
PO-0006154,S-0034,M-0071,2025-04-01,2025-05-24,200,4050.59,CLOSED
PO-0006155,S-0010,M-0180,2025-11-14,2025-11-28,100,1411.33,OPEN
PO-0006156,S-0060,M-0124,2024-03-09,2024-03-29,50,4111.72,CLOSED
PO-0006157,S-0007,M-0166,2026-01-01,2026-02-04,1000,4513.4,CLOSED
PO-0006158,S-0046,M-0118,2024-05-03,2024-06-20,1000,2776.65,CLOSED
PO-0006159,S-0049,M-0058,2025-12-18,2026-01-23,50,3772.45,CLOSED
PO-0006160,S-0030,M-0041,2024-12-24,2025-01-06,500,3354.51,OPEN
PO-0006161,S-0040,M-0016,2024-02-17,2024-03-09,200,4329.8,CLOSED
PO-0006162,S-0008,M-0102,2025-05-21,2025-06-03,500,3255.79,CLOSED
PO-0006163,S-0048,M-0148,2025-12-24,2026-02-03,500,3889.92,CLOSED
PO-0006164,S-0012,M-0084,2024-01-10,2024-01-21,500,3706.09,OPEN
PO-0006165,S-0023,M-0195,2024-10-29,2024-11-13,100,4355.82,CANCELLED
PO-0006166,S-0046,M-0118,2024-06-10,2024-07-28,1000,2776.65,CLOSED
PO-0006167,S-0017,M-0026,2025-05-13,2025-06-18,500,2208.48,CLOSED
PO-0006168,S-0017,M-0113,2024-02-05,2024-03-12,100,4852.41,CLOSED
PO-0006169,S-0056,M-0018,2024-11-22,2025-01-01,1000,838.03,CLOSED
PO-0006170,S-0039,M-0033,2024-12-09,2025-01-06,500,2236.84,CLOSED
PO-0006171,S-0043,M-0168,2024-02-15,2024-03-29,100,3215.49,CLOSED
PO-0006172,S-0021,M-0028,2024-11-23,2024-12-16,200,4505.23,CLOSED
PO-0006173,S-0010,M-0180,2025-09-30,2025-10-14,500,1411.33,CLOSED
PO-0006174,S-0011,M-0198,2025-11-19,2026-01-04,50,3621.9,CLOSED
PO-0006175,S-0060,M-0002,2024-11-28,2024-12-18,100,2318.51,CLOSED
PO-0006176,S-0026,M-0167,2024-04-26,2024-05-19,500,4842.62,CANCELLED
PO-0006177,S-0030,M-0072,2024-08-14,2024-08-27,200,2982.75,CLOSED
PO-0006178,S-0054,M-0120,2025-07-17,2025-08-05,50,4666.63,CLOSED
PO-0006179,S-0031,M-0133,2024-02-02,2024-03-03,200,3135.13,CLOSED
PO-0006180,S-0044,M-0143,2026-02-14,2026-03-05,1000,415.62,CLOSED
PO-0006181,S-0041,M-0035,2025-02-22,2025-03-05,50,512.27,CLOSED
PO-0006182,S-0025,M-0128,2024-01-09,2024-01-20,200,266.05,OPEN
PO-0006183,S-0030,M-0041,2025-09-29,2025-10-12,200,3354.51,CLOSED
PO-0006184,S-0055,M-0069,2024-10-23,2024-11-19,50,572.42,CLOSED
PO-0006185,S-0059,M-0179,2025-07-13,2025-07-25,1000,4501.37,CLOSED
PO-0006186,S-0009,M-0153,2024-06-03,2024-07-18,500,2677.72,CLOSED
PO-0006187,S-0056,M-0089,2024-03-05,2024-04-14,200,1457.48,CLOSED
PO-0006188,S-0004,M-0115,2025-12-12,2026-01-20,200,1840.81,CLOSED
PO-0006189,S-0042,M-0056,2024-03-09,2024-04-27,100,4340.91,CLOSED
PO-0006190,S-0044,M-0065,2026-04-06,2026-04-25,200,4710.28,CLOSED
PO-0006191,S-0030,M-0041,2024-04-24,2024-05-07,100,3354.51,OPEN
PO-0006192,S-0017,M-0107,2026-02-20,2026-03-28,50,1183.18,CLOSED
PO-0006193,S-0045,M-0039,2025-12-17,2026-01-20,500,3903.18,CLOSED
PO-0006194,S-0039,M-0067,2026-03-03,2026-03-31,500,3924.04,CLOSED
PO-0006195,S-0026,M-0001,2024-04-19,2024-05-12,200,3245.23,CLOSED
PO-0006196,S-0003,M-0138,2024-10-06,2024-11-09,50,1502.17,CLOSED
PO-0006197,S-0051,M-0169,2024-09-14,2024-10-17,100,4944.66,CLOSED
PO-0006198,S-0007,M-0166,2026-01-14,2026-02-17,50,4513.4,CLOSED
PO-0006199,S-0020,M-0125,2026-02-11,2026-03-31,1000,4994.57,CLOSED
PO-0006200,S-0059,M-0152,2025-09-14,2025-09-26,50,3750.03,CLOSED
PO-0006201,S-0048,M-0031,2024-10-01,2024-11-11,50,2867.07,CLOSED
PO-0006202,S-0020,M-0190,2024-04-25,2024-06-12,50,2910.7,CLOSED
PO-0006203,S-0030,M-0182,2024-08-14,2024-08-27,200,2179.49,OPEN
PO-0006204,S-0031,M-0133,2026-01-07,2026-02-06,500,3135.13,CLOSED
PO-0006205,S-0027,M-0048,2024-04-18,2024-05-29,100,2735.93,CANCELLED
PO-0006206,S-0039,M-0025,2025-02-24,2025-03-24,500,1956.72,CLOSED
PO-0006207,S-0055,M-0075,2025-03-16,2025-04-12,500,2463.37,CLOSED
PO-0006208,S-0009,M-0030,2024-06-01,2024-07-16,200,3341.4,CLOSED
PO-0006209,S-0055,M-0069,2025-09-28,2025-10-25,1000,572.42,CLOSED
PO-0006210,S-0047,M-0177,2026-01-11,2026-02-08,200,2317.31,CLOSED
PO-0006211,S-0017,M-0063,2024-08-17,2024-09-22,50,3049.17,CLOSED
PO-0006212,S-0017,M-0107,2025-12-04,2026-01-09,200,1183.18,CLOSED
PO-0006213,S-0047,M-0132,2025-10-08,2025-11-05,50,4361.12,CLOSED
PO-0006214,S-0056,M-0089,2024-02-28,2024-04-08,200,1457.48,CLOSED
PO-0006215,S-0008,M-0102,2024-10-04,2024-10-17,200,3255.79,CLOSED
PO-0006216,S-0046,M-0181,2025-07-31,2025-09-17,200,4973.41,CLOSED
PO-0006217,S-0046,M-0038,2024-10-04,2024-11-21,1000,2028.28,OPEN
PO-0006218,S-0045,M-0099,2024-09-17,2024-10-21,50,1491.73,OPEN
PO-0006219,S-0006,M-0106,2024-04-11,2024-05-25,100,4452.64,CLOSED
PO-0006220,S-0044,M-0200,2025-01-06,2025-01-25,500,2243.41,CLOSED
PO-0006221,S-0003,M-0130,2024-07-23,2024-08-26,1000,4828.5,CLOSED
PO-0006222,S-0017,M-0057,2025-01-12,2025-02-17,200,1097.72,CLOSED
PO-0006223,S-0041,M-0136,2024-12-27,2025-01-07,1000,3746.49,CLOSED
PO-0006224,S-0057,M-0004,2025-03-19,2025-03-30,1000,1879.16,CLOSED
PO-0006225,S-0017,M-0107,2026-04-09,2026-05-15,100,1183.18,OPEN
PO-0006226,S-0043,M-0112,2025-12-05,2026-01-17,100,231.65,CLOSED
PO-0006227,S-0041,M-0045,2025-04-26,2025-05-07,200,2227.37,CLOSED
PO-0006228,S-0050,M-0193,2024-12-18,2025-02-04,200,3391.13,CLOSED
PO-0006229,S-0024,M-0192,2026-03-08,2026-03-24,50,2891.8,CLOSED
PO-0006230,S-0041,M-0035,2025-06-10,2025-06-21,50,512.27,CLOSED
PO-0006231,S-0025,M-0145,2024-10-30,2024-11-10,200,1224.17,OPEN
PO-0006232,S-0054,M-0005,2024-05-16,2024-06-04,500,1547.46,CLOSED
PO-0006233,S-0049,M-0058,2026-03-06,2026-04-11,200,3772.45,CLOSED
PO-0006234,S-0020,M-0064,2025-09-28,2025-11-15,50,177.11,CLOSED
PO-0006235,S-0054,M-0032,2026-04-26,2026-05-15,1000,1470.22,CLOSED
PO-0006236,S-0003,M-0013,2025-03-10,2025-04-13,500,2785,CLOSED
PO-0006237,S-0060,M-0124,2025-10-23,2025-11-12,100,4111.72,CLOSED
PO-0006238,S-0026,M-0001,2025-07-18,2025-08-10,100,3245.23,CLOSED
PO-0006239,S-0044,M-0143,2024-06-26,2024-07-15,500,415.62,CLOSED
PO-0006240,S-0040,M-0159,2026-02-10,2026-03-03,200,4580.52,CLOSED
PO-0006241,S-0031,M-0037,2024-05-16,2024-06-15,200,2304.31,CLOSED
PO-0006242,S-0026,M-0196,2025-05-19,2025-06-11,500,3717.8,CLOSED
