col_a,col_b,col_c,col_d
GR-0009217,PO-0011322,2024-02-11,1000
GR-0009218,PO-0011324,2026-05-06,100
GR-0009219,PO-0011325,2024-03-09,1000
GR-0009220,PO-0011326,2025-04-07,100
GR-0009221,PO-0011327,2025-03-30,200
GR-0009222,PO-0011328,2025-03-17,1000
GR-0009223,PO-0011329,2024-02-27,200
GR-0009224,PO-0011330,2024-11-07,50
GR-0009225,PO-0011331,2024-09-11,1000
GR-0009226,PO-0011332,2025-10-28,100
GR-0009227,PO-0011333,2024-07-23,100
GR-0009228,PO-0011334,2025-09-11,50
GR-0009229,PO-0011336,2026-05-06,50
GR-0009230,PO-0011337,2026-01-30,200
GR-0009231,PO-0011338,2025-07-18,50
GR-0009232,PO-0011339,2024-04-01,200
GR-0009233,PO-0011340,2025-10-08,50
GR-0009234,PO-0011341,2024-08-31,200
GR-0009235,PO-0011342,2024-06-29,100
GR-0009236,PO-0011344,2026-02-24,1000
GR-0009237,PO-0011345,2026-01-04,1000
GR-0009238,PO-0011346,2024-08-10,874
GR-0009239,PO-0011347,2025-09-20,1000
GR-0009240,PO-0011348,2025-02-07,200
GR-0009241,PO-0011349,2025-05-05,100
GR-0009242,PO-0011350,2025-05-17,50
GR-0009243,PO-0011352,2024-05-24,1000
GR-0009244,PO-0011353,2025-12-21,500
GR-0009245,PO-0011354,2024-03-10,200
GR-0009246,PO-0011357,2025-06-05,1000
GR-0009247,PO-0011358,2025-12-08,500
GR-0009248,PO-0011359,2025-03-27,100
GR-0009249,PO-0011360,2025-08-03,200
GR-0009250,PO-0011361,2026-05-30,1000
GR-0009251,PO-0011362,2025-09-01,500
GR-0009252,PO-0011364,2026-03-16,200
GR-0009253,PO-0011365,2025-12-16,200
GR-0009254,PO-0011367,2024-09-07,200
GR-0009255,PO-0011369,2026-06-15,100
GR-0009256,PO-0011370,2024-10-14,200
GR-0009257,PO-0011372,2025-03-11,500
GR-0009258,PO-0011373,2025-01-31,100
GR-0009259,PO-0011374,2025-08-19,50
GR-0009260,PO-0011378,2025-06-12,50
GR-0009261,PO-0011379,2024-09-03,200
GR-0009262,PO-0011380,2025-12-13,171
GR-0009263,PO-0011381,2024-12-11,92
GR-0009264,PO-0011382,2025-06-15,786
GR-0009265,PO-0011383,2024-12-26,500
GR-0009266,PO-0011384,2024-07-20,500
GR-0009267,PO-0011385,2025-05-29,200
GR-0009268,PO-0011386,2024-08-25,50
GR-0009269,PO-0011387,2025-12-14,100
GR-0009270,PO-0011390,2025-07-17,200
GR-0009271,PO-0011391,2024-12-16,200
GR-0009272,PO-0011392,2026-02-13,1000
GR-0009273,PO-0011393,2025-08-24,100
GR-0009274,PO-0011394,2024-06-28,1000
GR-0009275,PO-0011395,2025-06-02,500
GR-0009276,PO-0011396,2025-05-18,1000
GR-0009277,PO-0011397,2024-08-12,500
GR-0009278,PO-0011398,2025-07-10,50
GR-0009279,PO-0011399,2024-06-22,500
GR-0009280,PO-0011401,2026-05-14,1000
GR-0009281,PO-0011402,2026-03-06,50
GR-0009282,PO-0011403,2024-08-22,1000
GR-0009283,PO-0011404,2026-01-05,796
GR-0009284,PO-0011405,2024-03-13,1000
GR-0009285,PO-0011406,2026-05-08,500
GR-0009286,PO-0011407,2026-04-06,50
GR-0009287,PO-0011408,2025-04-17,50
GR-0009288,PO-0011409,2025-08-04,200
GR-0009289,PO-0011411,2026-01-16,500
GR-0009290,PO-0011412,2025-01-12,200
GR-0009291,PO-0011413,2025-10-20,1000
GR-0009292,PO-0011414,2024-09-02,200
GR-0009293,PO-0011415,2024-04-07,100
GR-0009294,PO-0011416,2024-10-01,100
GR-0009295,PO-0011418,2026-03-20,100
GR-0009296,PO-0011420,2026-02-14,456
GR-0009297,PO-0011421,2024-04-03,200
GR-0009298,PO-0011422,2024-05-22,50
GR-0009299,PO-0011423,2026-01-06,500
GR-0009300,PO-0011424,2024-08-11,500
GR-0009301,PO-0011425,2024-06-25,500
GR-0009302,PO-0011426,2025-07-13,50
GR-0009303,PO-0011427,2025-09-24,50
GR-0009304,PO-0011428,2026-03-26,1000
GR-0009305,PO-0011429,2025-08-11,50
GR-0009306,PO-0011430,2026-01-29,500
GR-0009307,PO-0011432,2024-07-07,71
GR-0009308,PO-0011433,2024-05-29,436
GR-0009309,PO-0011434,2026-02-08,50
GR-0009310,PO-0011435,2024-02-01,100
GR-0009311,PO-0011436,2025-06-26,1000
GR-0009312,PO-0011438,2024-02-01,200
GR-0009313,PO-0011440,2026-01-28,500
GR-0009314,PO-0011441,2025-06-21,1000
GR-0009315,PO-0011442,2025-06-30,100
GR-0009316,PO-0011443,2024-03-21,500
GR-0009317,PO-0011445,2025-01-19,1000
GR-0009318,PO-0011446,2025-02-10,100
GR-0009319,PO-0011447,2025-12-20,1000
GR-0009320,PO-0011448,2024-08-15,200
GR-0009321,PO-0011450,2024-10-20,200
GR-0009322,PO-0011451,2025-01-13,1000
GR-0009323,PO-0011452,2025-05-28,500
GR-0009324,PO-0011454,2024-09-17,200
GR-0009325,PO-0011455,2024-02-09,500
GR-0009326,PO-0011456,2025-03-24,200
GR-0009327,PO-0011457,2026-01-16,200
GR-0009328,PO-0011459,2025-05-09,200
GR-0009329,PO-0011460,2024-12-10,200
GR-0009330,PO-0011461,2026-01-06,1000
GR-0009331,PO-0011464,2025-06-11,500
GR-0009332,PO-0011465,2026-05-24,50
GR-0009333,PO-0011466,2025-01-10,50
GR-0009334,PO-0011468,2025-10-24,100
GR-0009335,PO-0011469,2024-06-22,200
GR-0009336,PO-0011470,2024-09-11,100
GR-0009337,PO-0011472,2025-12-16,500
GR-0009338,PO-0011473,2024-03-28,100
GR-0009339,PO-0011474,2024-05-16,200
GR-0009340,PO-0011476,2025-03-21,1000
GR-0009341,PO-0011478,2025-04-15,50
GR-0009342,PO-0011479,2026-04-03,100
GR-0009343,PO-0011480,2024-05-05,50
GR-0009344,PO-0011481,2026-03-04,500
GR-0009345,PO-0011482,2025-07-13,500
GR-0009346,PO-0011483,2024-08-15,50
GR-0009347,PO-0011484,2025-05-17,500
GR-0009348,PO-0011485,2024-09-27,100
GR-0009349,PO-0011486,2024-05-19,100
GR-0009350,PO-0011487,2024-07-09,500
GR-0009351,PO-0011488,2024-09-04,200
GR-0009352,PO-0011490,2025-07-24,50
GR-0009353,PO-0011493,2024-03-30,100
GR-0009354,PO-0011494,2024-03-20,50
GR-0009355,PO-0011496,2025-08-30,50
GR-0009356,PO-0011499,2025-08-28,200
GR-0009357,PO-0011500,2024-11-18,500
GR-0009358,PO-0011501,2024-04-13,1000
GR-0009359,PO-0011502,2025-01-06,100
GR-0009360,PO-0011503,2025-01-25,50
GR-0009361,PO-0011505,2025-07-28,500
GR-0009362,PO-0011506,2025-03-03,500
GR-0009363,PO-0011507,2025-02-10,500
GR-0009364,PO-0011508,2025-12-07,473
GR-0009365,PO-0011509,2026-01-27,193
GR-0009366,PO-0011510,2024-03-07,50
GR-0009367,PO-0011511,2024-11-28,100
GR-0009368,PO-0011512,2026-06-02,50
GR-0009369,PO-0011513,2025-11-15,500
GR-0009370,PO-0011514,2026-01-21,500
GR-0009371,PO-0011516,2025-04-15,500
GR-0009372,PO-0011517,2025-06-14,1000
GR-0009373,PO-0011518,2026-01-22,1000
GR-0009374,PO-0011519,2025-10-29,1000
GR-0009375,PO-0011520,2024-07-29,500
GR-0009376,PO-0011522,2024-09-17,50
GR-0009377,PO-0011523,2024-07-03,500
GR-0009378,PO-0011524,2025-11-08,43
GR-0009379,PO-0011525,2025-05-31,100
GR-0009380,PO-0011526,2024-09-19,200
GR-0009381,PO-0011527,2025-03-14,500
GR-0009382,PO-0011528,2026-04-20,100
GR-0009383,PO-0011529,2025-12-10,500
GR-0009384,PO-0011530,2024-02-06,50
GR-0009385,PO-0011531,2026-04-18,500
GR-0009386,PO-0011532,2024-04-08,500
GR-0009387,PO-0011533,2024-08-03,100
GR-0009388,PO-0011535,2026-06-10,50
GR-0009389,PO-0011536,2026-03-29,924
GR-0009390,PO-0011537,2025-04-30,50
GR-0009391,PO-0011538,2025-05-13,50
GR-0009392,PO-0011539,2024-09-23,1000
GR-0009393,PO-0011541,2024-10-03,100
GR-0009394,PO-0011542,2024-08-07,1000
GR-0009395,PO-0011543,2024-09-20,500
GR-0009396,PO-0011544,2026-03-31,43
GR-0009397,PO-0011545,2025-12-19,100
GR-0009398,PO-0011546,2025-03-28,50
GR-0009399,PO-0011548,2024-08-16,100
GR-0009400,PO-0011549,2024-06-19,378
GR-0009401,PO-0011550,2025-03-12,1000
GR-0009402,PO-0011551,2025-12-17,100
GR-0009403,PO-0011552,2025-06-28,1000
GR-0009404,PO-0011553,2026-01-27,500
GR-0009405,PO-0011554,2026-02-08,200
GR-0009406,PO-0011555,2024-10-15,200
GR-0009407,PO-0011556,2025-02-19,80
GR-0009408,PO-0011557,2024-03-04,100
GR-0009409,PO-0011559,2026-06-16,200
GR-0009410,PO-0011560,2024-03-19,1000
GR-0009411,PO-0011561,2024-10-21,500
GR-0009412,PO-0011562,2025-02-25,1000
GR-0009413,PO-0011563,2024-11-01,50
GR-0009414,PO-0011565,2025-12-05,200
GR-0009415,PO-0011567,2026-04-08,200
GR-0009416,PO-0011569,2026-05-02,500
GR-0009417,PO-0011570,2025-09-09,1000
GR-0009418,PO-0011571,2024-12-11,50
GR-0009419,PO-0011572,2024-09-19,200
GR-0009420,PO-0011573,2024-06-21,100
GR-0009421,PO-0011574,2024-02-17,100
GR-0009422,PO-0011575,2025-07-12,1000
GR-0009423,PO-0011576,2025-08-13,50
GR-0009424,PO-0011577,2024-02-01,1000
GR-0009425,PO-0011578,2024-12-19,50
GR-0009426,PO-0011579,2025-05-04,1000
GR-0009427,PO-0011580,2026-01-03,50
GR-0009428,PO-0011581,2026-03-19,76
GR-0009429,PO-0011582,2026-04-22,200
GR-0009430,PO-0011583,2024-11-20,1000
GR-0009431,PO-0011584,2026-01-10,50
GR-0009432,PO-0011585,2025-11-07,38
GR-0009433,PO-0011587,2024-05-02,100
GR-0009434,PO-0011588,2024-11-14,1000
GR-0009435,PO-0011589,2024-04-26,500
GR-0009436,PO-0011592,2025-01-17,1000
