col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i
20241130,W-13,M-0008,1549,1224,441,947,0,0
20241130,W-13,M-0010,637,893,796,618,0,0
20241130,W-13,M-0004,8,231,456,905,0,0
20241130,W-13,M-0106,446,226,65,514,0,0
20241130,W-13,M-0152,2023,1617,250,391,0,0
20241130,W-13,M-0039,2161,2290,570,737,0,0
20241130,W-13,M-0096,1734,1734,99,650,0,0
20241130,W-13,M-0076,2425,2421,839,369,0,0
20241130,W-13,M-0043,357,165,556,776,0,1
20241130,W-13,M-0120,2716,2304,152,840,0,0
20241130,W-13,M-0020,2697,2600,740,735,0,0
20241130,W-13,M-0138,1530,1769,160,321,0,0
20241130,W-13,M-0038,1516,1322,658,572,0,0
20241130,W-13,M-0047,1642,1876,141,806,0,0
20241130,W-13,M-0088,2794,3093,701,627,0,0
20241130,W-13,M-0032,107,587,606,338,0,0
20241130,W-13,M-0100,130,373,374,264,0,1
20241130,W-13,M-0021,2483,2419,806,865,0,0
20241130,W-13,M-0067,1948,1844,625,788,0,0
20241130,W-13,M-0015,1289,1313,768,964,0,0
20241130,W-13,M-0167,477,68,963,859,0,0
20241130,W-13,M-0133,1835,1617,562,980,0,0
20241130,W-13,M-0035,2059,2478,416,541,0,0
20241130,W-13,M-0083,143,129,699,317,0,0
20241130,W-13,M-0111,2730,2488,634,50,0,0
20241130,W-13,M-0176,968,518,311,75,0,0
20241130,W-13,M-0090,2194,2218,126,830,0,0
20241130,W-13,M-0114,63,236,376,46,0,1
20241130,W-13,M-0042,2573,2855,298,386,0,0
20241130,W-13,M-0143,1916,2210,777,349,0,0
20241130,W-13,M-0059,2309,1922,651,438,0,0
20241130,W-13,M-0109,338,49,402,599,0,1
20241130,W-13,M-0058,304,676,373,597,0,0
20241130,W-13,M-0112,2112,1655,263,519,0,0
20241130,W-13,M-0131,2347,2286,731,776,0,0
20241130,W-13,M-0171,2799,2783,695,281,0,0
20241130,W-13,M-0177,505,461,575,721,0,0
20241130,W-13,M-0081,1793,1699,337,475,0,0
