col_a,col_b,col_c,col_d,col_e,col_f
S-0043,サプライヤー_043,台湾,C,43,2019-08-08
S-0044,サプライヤー_044,米国,B,19,2011-02-22
S-0045,サプライヤー_045,ドイツ,B,34,2016-08-28
S-0046,サプライヤー_046,日本,C,48,2020-02-02
S-0047,サプライヤー_047,ドイツ,C,28,2022-02-08
S-0048,サプライヤー_048,韓国,A,41,2017-03-14
S-0049,サプライヤー_049,台湾,B,36,2013-02-15
S-0029,サプライヤー_029,日本,C,53,2014-09-25
S-0030,サプライヤー_030,台湾,C,13,2023-11-10
S-0031,サプライヤー_031,韓国,A,30,2022-03-18
S-0032,サプライヤー_032,日本,C,27,2017-01-04
S-0033,サプライヤー_033,タイ,B,22,2010-04-19
S-0034,サプライヤー_034,中国,A,53,2017-02-25
S-0035,サプライヤー_035,台湾,A,49,2017-09-06
S-0050,サプライヤー_050,中国,A,48,2018-01-03
S-0051,サプライヤー_051,韓国,A,33,2017-08-07
S-0052,サプライヤー_052,ドイツ,A,17,2016-01-13
S-0053,サプライヤー_053,ベトナム,B,25,2016-12-24
S-0054,サプライヤー_054,米国,A,19,2014-04-02
S-0055,サプライヤー_055,日本,C,27,2010-01-19
S-0056,サプライヤー_056,米国,C,40,2012-01-17
S-0057,サプライヤー_057,中国,A,11,2019-02-22
S-0058,サプライヤー_058,韓国,B,14,2019-04-19
S-0059,サプライヤー_059,日本,C,12,2016-11-19
S-0060,サプライヤー_060,タイ,B,20,2020-12-11
S-0036,サプライヤー_036,ベトナム,C,45,2016-04-18
S-0037,サプライヤー_037,韓国,C,26,2016-11-21
S-0038,サプライヤー_038,タイ,B,40,2017-02-08
S-0039,サプライヤー_039,韓国,A,28,2010-10-18
S-0040,サプライヤー_040,韓国,C,21,2010-02-23
S-0041,サプライヤー_041,日本,A,11,2010-06-03
S-0042,サプライヤー_042,韓国,B,49,2017-04-18
S-0001,サプライヤー_001,中国,A,54,2014-04-08
S-0002,サプライヤー_002,台湾,C,13,2020-12-18
S-0003,サプライヤー_003,中国,C,34,2010-01-03
S-0004,サプライヤー_004,韓国,A,39,2019-01-18
S-0005,サプライヤー_005,韓国,C,48,2021-09-14
S-0006,サプライヤー_006,韓国,B,44,2014-01-25
S-0007,サプライヤー_007,台湾,C,34,2015-05-05
S-0022,サプライヤー_022,ベトナム,C,44,2016-10-13
S-0023,サプライヤー_023,タイ,A,15,2018-08-03
S-0024,サプライヤー_024,日本,A,16,2020-03-26
S-0025,サプライヤー_025,ドイツ,C,11,2016-07-20
S-0026,サプライヤー_026,米国,C,23,2018-01-22
S-0027,サプライヤー_027,中国,C,41,2022-05-25
S-0028,サプライヤー_028,タイ,A,25,2016-03-15
S-0015,サプライヤー_015,タイ,B,20,2020-05-23
S-0016,サプライヤー_016,中国,C,47,2012-09-24
S-0017,サプライヤー_017,韓国,A,36,2016-05-21
S-0018,サプライヤー_018,韓国,C,27,2023-01-08
S-0019,サプライヤー_019,日本,B,32,2014-02-07
S-0020,サプライヤー_020,タイ,A,48,2017-07-21
S-0021,サプライヤー_021,米国,A,23,2012-04-24
S-0008,サプライヤー_008,韓国,B,13,2011-07-04
S-0009,サプライヤー_009,タイ,B,45,2014-01-24
S-0010,サプライヤー_010,米国,C,14,2016-02-18
S-0011,サプライヤー_011,ベトナム,C,46,2023-06-19
S-0012,サプライヤー_012,韓国,C,11,2010-11-08
S-0013,サプライヤー_013,ベトナム,A,21,2023-02-13
S-0014,サプライヤー_014,ベトナム,B,47,2023-06-06

Statement ID: {BA77A615-6813-4D04-BAFF-81E64EF1902C} | Query hash: 0x925E38A1C077DFD1 | Distributed request ID: {7588319F-AC2E-4A05-B21C-8ED9F9B1D5D1}
