"Date","Day_Number","Day","Month","Short_Month","Calendar_Month_Number","Calendar_Month_Label","Calendar_Year","Calendar_Year_Label","Fiscal_Month_Number","Fiscal_Month_Label","Fiscal_Year","Fiscal_Year_Label","ISO_Week_Number"
"2025-11-01 00:00:00.0000000","1","1","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","44"
"2025-11-02 00:00:00.0000000","2","2","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","44"
"2025-11-03 00:00:00.0000000","3","3","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-04 00:00:00.0000000","4","4","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-05 00:00:00.0000000","5","5","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-06 00:00:00.0000000","6","6","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-07 00:00:00.0000000","7","7","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-08 00:00:00.0000000","8","8","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-09 00:00:00.0000000","9","9","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","45"
"2025-11-10 00:00:00.0000000","10","10","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-11 00:00:00.0000000","11","11","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-12 00:00:00.0000000","12","12","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-13 00:00:00.0000000","13","13","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-14 00:00:00.0000000","14","14","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-15 00:00:00.0000000","15","15","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-16 00:00:00.0000000","16","16","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","46"
"2025-11-17 00:00:00.0000000","17","17","11月","11月","11","CY2025-Nov","2025","2025","1","FY2026-Nov","2026","2026","47"
