"Supplier_Key","WWI_Supplier_ID","Supplier","Category","Primary_Contact","Supplier_Reference","Payment_Days","Postal_Code","Valid_From","Valid_To","Lineage_Key"
"20","7","株式会社清水製造","梱包資材サプライヤー","清水 莉子","BC0280982","30","021-05254","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"21","8","株式会社森製造","ノベルティグッズサプライヤー","森 大樹","JQ082304802","30","022-4541","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"23","10","株式会社橋本製造","玩具サプライヤー","橋本 光","ML0300202","30","024-1744","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"27","3","株式会社藤田製造","宅配サービスサプライヤー","藤田 翼","209340283","30","028-910","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"1","1","株式会社田中製造","ノベルティグッズサプライヤー","田中 太郎","AA20384","14","002-9356","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"11","2","株式会社吉田製造","ノベルティグッズサプライヤー","吉田 勇人","B2084020","7","012-6218","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"25","12","株式会社石川製造","ノベルティグッズサプライヤー","石川 優太","237408032","30","026-2974","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"7","4","株式会社山本製造","衣料品サプライヤー","山本 翔太","293092","30","008-4245","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"13","10","株式会社佐々木製造","玩具サプライヤー","佐々木 拓也","ML0300202","30","014-5001","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"15","2","株式会社松本製造","ノベルティグッズサプライヤー","松本 隆","B2084020","7","016-001923","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"3","3","株式会社佐藤製造","宅配業者","佐藤 健","209340283","30","004-22","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"8","12","株式会社中村製造","ノベルティグッズサプライヤー","中村 結衣","237408032","30","009-06197","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"24","11","株式会社山崎製造","マーケティングサービスサプライヤー","山崎 夏美","082304822","7","025-7209","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"6","5","株式会社伊藤製造","ノベルティグッズサプライヤー","伊藤 愛","08803922","14","007-2725","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"10","8","株式会社加藤製造","ノベルティグッズサプライヤー","加藤 さくら","JQ082304802","30","011-7892","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"12","9","株式会社山田製造","ノベルティグッズサプライヤー","山田 美穂","GL08029802","7","013-5435","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"5","6","株式会社渡辺製造","保険サービスサプライヤー","渡辺 大輔","082420938","14","006-6907","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"14","1","株式会社山口製造","ノベルティグッズサプライヤー","山口 愛美","AA20384","14","015-6994","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"18","5","株式会社林製造","ノベルティグッズサプライヤー","林 陽菜","08803922","14","019-8936","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"9","11","株式会社小林製造","マーケティングサービスサプライヤー","小林 龍","082304822","7","010-5632","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"16","3","株式会社井上製造","宅配業者","井上 優","209340283","30","017-2537","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"4","7","株式会社高橋製造","梱包資材サプライヤー","高橋 美咲","BC0280982","30","005-3719","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"19","6","株式会社斎藤製造","保険サービスサプライヤー","斎藤 健太","082420938","14","020-1263","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"22","9","株式会社池田製造","ノベルティグッズサプライヤー","池田 咲","GL08029802","7","023-7950","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"2","13","株式会社鈴木製造","金融サービスサプライヤー","鈴木 花子","028034202","7","003-2787","2022-01-01 00:00:00.0000000","2022-01-01 00:05:00.0000000","6"
"17","4","株式会社木村製造","衣料品サプライヤー","木村 颯太","293092","30","018-6615","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"26","13","株式会社前田製造","金融サービスサプライヤー","前田 真央","028034202","7","027-07421","2022-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999990","6"
"0","0","Unknown","N/A","N/A","N/A","0","N/A","2022-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999990","0"
