Stock_Item_Key,WWI_Stock_Item_ID,Stock_Item,Color,Selling_Package,Buying_Package,Brand,Size,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Barcode,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit,Photo,Valid_From,Valid_To,Lineage_Key,Product_Category
220,221,ノベルティ 激辛 チョコレートs 500g,N/A,Bag,Carton,N/A,500g,3,12,True,8302039293647,3.0,14.5000,20.74,0.500,,2025-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > 調味料 > 唐辛子・スパイス
221,220,ノベルティ 激辛 チョコレートs 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8302039293929,3.0,8.5500,12.23,0.250,,2025-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > 調味料 > 唐辛子・スパイス
222,223,チョコレート ハリモグラ 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293728,3.0,8.5500,12.23,0.250,,2025-01-02 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > スイーツ > チョコレート
223,222,チョコレート カブトムシ 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293820,3.0,8.5500,12.23,0.250,,2025-01-02 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > スイーツ > チョコレート
224,225,チョコレート サメs 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293234,3.0,8.5500,12.23,0.250,,2025-01-04 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > スイーツ > チョコレート
225,224,チョコレート カエル 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293987,3.0,8.5500,12.23,0.250,,2025-01-04 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > スイーツ > チョコレート
226,227,白 チョコレート ムーンロック 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293289,3.0,8.5500,12.23,0.250,,2025-01-05 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > お菓子 > チョコレート
227,226,白 チョコレート スノーボール 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293236,3.0,8.5500,12.23,0.250,,2025-01-05 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 食品 > スイーツ・お菓子 > チョコレート
445,220,ノベルティ 激辛 チョコレートs 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8302039293929,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > 調味料 > 唐辛子・スパイス
446,221,ノベルティ 激辛 チョコレートs 500g,N/A,Bag,Carton,N/A,500g,3,12,True,8302039293647,3.0,14.5000,20.74,0.500,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > 調味料 > 唐辛子・スパイス
447,222,チョコレート カブトムシ 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293820,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > スイーツ > チョコレート
448,223,チョコレート ハリモグラ 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293728,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > スイーツ > チョコレート
449,224,チョコレート カエル 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293987,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > スイーツ > チョコレート
450,225,チョコレート サメs 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293234,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > スイーツ > チョコレート
451,226,白 チョコレート スノーボール 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293236,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > スナック菓子 > チョコレート
452,227,白 チョコレート ムーンロック 250g,N/A,Bag,Carton,N/A,250g,3,24,True,8792838293289,3.0,8.5500,12.23,0.250,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 食品 > お菓子 > チョコレート
